df_namekey,col_name,col_type,col_nan_count,total_rows
df_bom_gross,title,object,0,3387
df_bom_gross,studio,object,5,3387
df_bom_gross,domestic_gross,float64,28,3387
df_bom_gross,foreign_gross,object,1350,3387
df_bom_gross,year,int64,0,3387
df_imdb_ratings,tconst,object,0,73856
df_imdb_ratings,averagerating,float64,0,73856
df_imdb_ratings,numvotes,int64,0,73856
df_imdb_namebasics,nconst,object,0,606648
df_imdb_namebasics,primary_name,object,0,606648
df_imdb_namebasics,birth_year,float64,523912,606648
df_imdb_namebasics,death_year,float64,599865,606648
df_imdb_namebasics,primary_profession,object,51340,606648
df_imdb_namebasics,known_for_titles,object,30204,606648
df_rt_movie_info,id,int64,0,1560
df_rt_movie_info,synopsis,object,62,1560
df_rt_movie_info,rating,object,3,1560
df_rt_movie_info,genre,object,8,1560
df_rt_movie_info,director,object,199,1560
df_rt_movie_info,writer,object,449,1560
df_rt_movie_info,theater_date,object,359,1560
df_rt_movie_info,dvd_date,object,359,1560
df_rt_movie_info,currency,object,1220,1560
df_rt_movie_info,box_office,object,1220,1560
df_rt_movie_info,runtime,object,30,1560
df_rt_movie_info,studio,object,1066,1560
df_imdb_akas,title_id,object,0,331703
df_imdb_akas,ordering,int64,0,331703
df_imdb_akas,title,object,0,331703
df_imdb_akas,region,object,53293,331703
df_imdb_akas,language,object,289988,331703
df_imdb_akas,types,object,163256,331703
df_imdb_akas,attributes,object,316778,331703
df_imdb_akas,is_original_title,float64,25,331703
df_imdb_basics,tconst,object,0,146144
df_imdb_basics,primary_title,object,0,146144
df_imdb_basics,original_title,object,21,146144
df_imdb_basics,start_year,int64,0,146144
df_imdb_basics,runtime_minutes,float64,31739,146144
df_imdb_basics,genres,object,5408,146144
df_tmdb_movies,Unnamed: 0,int64,0,26517
df_tmdb_movies,genre_ids,object,0,26517
df_tmdb_movies,id,int64,0,26517
df_tmdb_movies,original_language,object,0,26517
df_tmdb_movies,original_title,object,0,26517
df_tmdb_movies,popularity,float64,0,26517
df_tmdb_movies,release_date,object,0,26517
df_tmdb_movies,title,object,0,26517
df_tmdb_movies,vote_average,float64,0,26517
df_tmdb_movies,vote_count,int64,0,26517
df_imdb_crew,tconst,object,0,146144
df_imdb_crew,directors,object,5727,146144
df_imdb_crew,writers,object,35883,146144
df_tn_budgets,id,int64,0,5782
df_tn_budgets,release_date,object,0,5782
df_tn_budgets,movie,object,0,5782
df_tn_budgets,production_budget,object,0,5782
df_tn_budgets,domestic_gross,object,0,5782
df_tn_budgets,worldwide_gross,object,0,5782
df_imdb_principals,tconst,object,0,1028186
df_imdb_principals,ordering,int64,0,1028186
df_imdb_principals,nconst,object,0,1028186
df_imdb_principals,category,object,0,1028186
df_imdb_principals,job,object,850502,1028186
df_imdb_principals,characters,object,634826,1028186
rt_reviews,id,int64,0,54432
rt_reviews,review,object,5563,54432
rt_reviews,rating,object,13517,54432
rt_reviews,fresh,object,0,54432
rt_reviews,critic,object,2722,54432
rt_reviews,top_critic,int64,0,54432
rt_reviews,publisher,object,309,54432
rt_reviews,date,object,0,54432
